CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      29.00      24.00       0.00       0.00     862.00       0.00
    2       1.00      28.00       0.00     273.00     289.00       0.00
    3      25.00      19.00       0.00       2.00      61.00       0.00
    4       1.00      33.00       0.00     278.00     318.00       0.00
    5      29.00      36.00       0.00     447.00     481.00       0.00
    6      19.00      37.00       0.00     463.00     569.00       0.00
    7      31.00      18.00       0.00       0.00      63.00       0.00
    8      43.00      25.00       0.00     384.00     451.00       0.00
    9      34.00       7.00       0.00      47.00     126.00       0.00
   10      40.00      20.00       0.00      89.00     126.00       0.00
   11      18.00       1.00       0.00     138.00     190.00       0.00
